12÷2=？  	12÷2=？  <br>谜底：<font color="#FFFFFF">商陆  </font>\n
一张网儿四方方， 从不捕鱼撒入江， 辟辟啪啪一阵响， 打得飞贼一命丧。 	一张网儿四方方， 从不捕鱼撒入江， 辟辟啪啪一阵响， 打得飞贼一命丧。 <br>谜底：<font color="#FFFFFF">蝇拍 </font>\n
一支宝剑光闪闪， 烈焰腾腾飞上天， 天空飞来妖和贼， 被它盯住就完蛋。 （打一武器） 	一支宝剑光闪闪， 烈焰腾腾飞上天， 天空飞来妖和贼， 被它盯住就完蛋。 （打一武器） <br>谜底：<font color="#FFFFFF">地对空导弹</font>\n
一知半解十分差（字）	一知半解十分差（字）<br>谜底：<font color="#FFFFFF">短</font>\n
一直又有雄心在（字）	一直又有雄心在（字）<br>谜底：<font color="#FFFFFF">伎</font>\n
一只狗，站门口，打一枪，就开口（物）	一只狗，站门口，打一枪，就开口（物）<br>谜底：<font color="#FFFFFF">锁子</font>\n
一只顺风船，白蓬红船头， 划起两只桨，湖上四处游。 	一只顺风船，白蓬红船头， 划起两只桨，湖上四处游。 <br>谜底：<font color="#FFFFFF">鹅</font>\n
一只顺风船，白蓬红船头， 划起两只桨，湖上四处游。	一只顺风船，白蓬红船头， 划起两只桨，湖上四处游。<br>谜底：<font color="#FFFFFF">鹅</font>\n
一只桶，脱了底， 十个大汉抬不起。 （打一水源） 	一只桶，脱了底， 十个大汉抬不起。 （打一水源） <br>谜底：<font color="#FFFFFF">井 </font>\n
一种生活 （字） 	一种生活 （字） <br>谜底：<font color="#FFFFFF">牛</font>\n
一种植物生得巧， 不是豆类也结角， 果实制药可止血， 白花可做黄染料。 	一种植物生得巧， 不是豆类也结角， 果实制药可止血， 白花可做黄染料。 <br>谜底：<font color="#FFFFFF">槐树</font>\n
一字千金（三字影片名）	一字千金（三字影片名）<br>谜底：<font color="#FFFFFF">出嫁女</font>\n
一字三个口,不能猜作品（字）	一字三个口,不能猜作品（字）<br>谜底：<font color="#FFFFFF">目</font>\n
一字生得巧，四面八只脚（字）	一字生得巧，四面八只脚（字）<br>谜底：<font color="#FFFFFF">井</font>\n
一字有五笔,倒数总第一（字）	一字有五笔,倒数总第一（字）<br>谜底：<font color="#FFFFFF">末</font>\n
一座军营百个兵，列好队伍等命令， 一旦需要就出去，牺牲自己换光明。 	一座军营百个兵，列好队伍等命令， 一旦需要就出去，牺牲自己换光明。 <br>谜底：<font color="#FFFFFF">火柴 </font>\n
一座桥儿长， 桥门排成行， 门关蓄大水， 门开翻大浪。 （打一农业设施） 	一座桥儿长， 桥门排成行， 门关蓄大水， 门开翻大浪。 （打一农业设施） <br>谜底：<font color="#FFFFFF">水闸 </font>\n
一座铁架，本领真大， 送歌送舞，送戏送画。（打一无线电建筑物）  	一座铁架，本领真大， 送歌送舞，送戏送画。（打一无线电建筑物）  <br>谜底：<font color="#FFFFFF">电视塔  </font>\n
一座弯大桥，造在青天里， 七色呈异彩，都夸好手艺。 （打一自然现象） 	一座弯大桥，造在青天里， 七色呈异彩，都夸好手艺。 （打一自然现象） <br>谜底：<font color="#FFFFFF">虹</font>\n
壹贰叁肆伍陆柒捌玖。 （漏字体）打古书名一）  	壹贰叁肆伍陆柒捌玖。 （漏字体）打古书名一）  <br>谜底：<font color="#FFFFFF">拾遗记</font>\n
医疗费乱涨价（三字俗语）	医疗费乱涨价（三字俗语）<br>谜底：<font color="#FFFFFF">瞧不起</font>\n
医生提笔。（打一数学名词）  	医生提笔。（打一数学名词）  <br>谜底：<font color="#FFFFFF">开方</font>\n
依靠群众。  	依靠群众。  <br>谜底：<font color="#FFFFFF">赖大家</font>\n
依山傍水（字）	依山傍水（字）<br>谜底：<font color="#FFFFFF">汕</font>\n
依稀远树十分低（字）	依稀远树十分低（字）<br>谜底：<font color="#FFFFFF">寿</font>\n
衣服破了，谁见谁忧愁（字）	衣服破了，谁见谁忧愁（字）<br>谜底：<font color="#FFFFFF">衰</font>\n
衣锦还乡。  	衣锦还乡。  <br>谜底：<font color="#FFFFFF">归有光</font>\n
衣食住行。 （打电视剧名一）  	衣食住行。 （打电视剧名一）  <br>谜底：<font color="#FFFFFF">凡人小事  </font>\n
遗嘱（文学体裁）	遗嘱（文学体裁）<br>谜底：<font color="#FFFFFF">绝句</font>\n
移山造田（字）	移山造田（字）<br>谜底：<font color="#FFFFFF">画</font>\n
疑是七星桥（字）	疑是七星桥（字）<br>谜底：<font color="#FFFFFF">它</font>\n
异邦赤子怀芳洁， 心底常留一寸丹。  	异邦赤子怀芳洁， 心底常留一寸丹。  <br>谜底：<font color="#FFFFFF">番红花  </font>\n
异国。  	异国。  <br>谜底：<font color="#FFFFFF">生地  </font>\n
异口同声（二字影片名）	异口同声（二字影片名）<br>谜底：<font color="#FFFFFF">怪音</font>\n
异母（六字影片名）	异母（六字影片名）<br>谜底：<font color="#FFFFFF">不一样的妈妈</font>\n
异味（成语）	异味（成语）<br>谜底：<font color="#FFFFFF">前所未有</font>\n
异香扑鼻。  	异香扑鼻。  <br>谜底：<font color="#FFFFFF">何其芳</font>\n
异乡分娩（五字俗语）	异乡分娩（五字俗语）<br>谜底：<font color="#FFFFFF">人生地不熟</font>\n
异型。（打一数学名词）  	异型。（打一数学名词）  <br>谜底：<font color="#FFFFFF">不等式  </font>\n
因小失大（字）	因小失大（字）<br>谜底：<font color="#FFFFFF">口</font>\n
音容笑貌。 （打一艺术形式）  	音容笑貌。 （打一艺术形式）  <br>谜底：<font color="#FFFFFF">相声  </font>\n
 阴天下雨刮北风	 阴天下雨刮北风<br>谜底：<font color="#FFFFFF">云南! </font>\n
阴阳界（四字影片名）	阴阳界（四字影片名）<br>谜底：<font color="#FFFFFF">生死之间</font>\n
银白软又韧，胜似麻和棉， 既能织成网，又能把带编。 （打一化学制品）  	银白软又韧，胜似麻和棉， 既能织成网，又能把带编。 （打一化学制品）  <br>谜底：<font color="#FFFFFF">尼龙线  </font>\n
银川 （字 ）	银川 （字 ）<br>谜底：<font color="#FFFFFF">泉</font>\n
银河隔断两三星（字）	银河隔断两三星（字）<br>谜底：<font color="#FFFFFF">兴</font>\n
银盘千载照中华 （已故中国领导人 ）	银盘千载照中华 （已故中国领导人 ）<br>谜底：<font color="#FFFFFF">胡耀邦</font>\n
银色带子，有短有长， 脚在海里，头在山上。（打一自然物） 	银色带子，有短有长， 脚在海里，头在山上。（打一自然物） <br>谜底：<font color="#FFFFFF">江河</font>\n
银燕盘旋在低空， 不搞运输灭害虫， 田间喷雾撒农药， 农业丰收建奇功。 （打一农业新技术） 	银燕盘旋在低空， 不搞运输灭害虫， 田间喷雾撒农药， 农业丰收建奇功。 （打一农业新技术） <br>谜底：<font color="#FFFFFF">飞机治虫</font>\n
银装玉裹冻蓬莱。（打一欧洲国家名） 	银装玉裹冻蓬莱。（打一欧洲国家名） <br>谜底：<font color="#FFFFFF">冰岛 </font>\n
引进外国电影（曲艺形式）	引进外国电影（曲艺形式）<br>谜底：<font color="#FFFFFF">拉洋片</font>\n
引经据典。  	引经据典。  <br>谜底：<font color="#FFFFFF">史可法</font>\n
隐语（三字俗语）	隐语（三字俗语）<br>谜底：<font color="#FFFFFF">不明白</font>\n
英雄难过美人关（二字电脑名词二）	英雄难过美人关（二字电脑名词二）<br>谜底：<font color="#FFFFFF">汉卡、色带</font>\n
英雄永生（文学名词）	英雄永生（文学名词）<br>谜底：<font color="#FFFFFF">笔名</font>\n
樱唇半启痴痴立 （字 ）	樱唇半启痴痴立 （字 ）<br>谜底：<font color="#FFFFFF">呆</font>\n
樱桃小嘴（字）	樱桃小嘴（字）<br>谜底：<font color="#FFFFFF">如</font>\n
鹰击长空。（打北京一地名）  	鹰击长空。（打北京一地名）  <br>谜底：<font color="#FFFFFF">高雄  </font>\n
鹰击长空。（打北京一地名）	鹰击长空。（打北京一地名）<br>谜底：<font color="#FFFFFF">高雄</font>\n
应声逃走（文学体裁）	应声逃走（文学体裁）<br>谜底：<font color="#FFFFFF">顺口溜</font>\n
萤（字）	萤（字）<br>谜底：<font color="#FFFFFF">烛 </font>\n
萤火虫	萤火虫<br>谜底：<font color="#FFFFFF">是昆明! </font>\n
营中生活吸引人（字）	营中生活吸引人（字）<br>谜底：<font color="#FFFFFF">牵</font>\n
迎春猜谜会（二字日常行为用语）	迎春猜谜会（二字日常行为用语）<br>谜底：<font color="#FFFFFF">打酒</font>\n
迎聘 （秋千格，打一农业名词） 	迎聘 （秋千格，打一农业名词） <br>谜底：<font color="#FFFFFF">嫁接</font>\n
影集。 (成语)	影集。 (成语)<br>谜底：<font color="#FFFFFF">包罗万象 </font>\n
影评（文学体裁）	影评（文学体裁）<br>谜底：<font color="#FFFFFF">观后感</font>\n
影子。 (成语)	影子。 (成语)<br>谜底：<font color="#FFFFFF">上行下效 </font>\n
硬舌头，尖嘴巴，不吃饭，光喝茶（物品）	硬舌头，尖嘴巴，不吃饭，光喝茶（物品）<br>谜底：<font color="#FFFFFF">钢笔</font>\n
硬舌头，尖嘴巴，不吃饭，光喝茶(猜一文具用品)	硬舌头，尖嘴巴，不吃饭，光喝茶(猜一文具用品)<br>谜底：<font color="#FFFFFF">钢笔</font>\n
映雪苦读终获益（西药名）	映雪苦读终获益（西药名）<br>谜底：<font color="#FFFFFF">康必得</font>\n
拥军爱民。 （打一词牌名）  	拥军爱民。 （打一词牌名）  <br>谜底：<font color="#FFFFFF">鱼水同欢  </font>\n
永别。 (成语)	永别。 (成语)<br>谜底：<font color="#FFFFFF">不期而遇 </font>\n
永远活在我们心里。 （打外国影片名一）  	永远活在我们心里。 （打外国影片名一）  <br>谜底：<font color="#FFFFFF">难忘的人  </font>\n
用不旧。（打江西一地名）  	用不旧。（打江西一地名）  <br>谜底：<font color="#FFFFFF">永新  </font>\n
用脚踩，用手摸， 能呼吸，会唱歌。 （打一乐器） 	用脚踩，用手摸， 能呼吸，会唱歌。 （打一乐器） <br>谜底：<font color="#FFFFFF">风琴 </font>\n
用时半个球,人在底下走,水在上面留	用时半个球,人在底下走,水在上面留<br>谜底：<font color="#FFFFFF">伞</font>\n
用什么方法可以让自己看起来永远年轻?（急转弯）	用什么方法可以让自己看起来永远年轻?（急转弯）<br>谜底：<font color="#FFFFFF">照相</font>\n
幽於围墙之中 （字 ）	幽於围墙之中 （字 ）<br>谜底：<font color="#FFFFFF">囚</font>\n
尤有眉月相伴 （字） 	尤有眉月相伴 （字） <br>谜底：<font color="#FFFFFF">龙</font>\n
邮路不通	邮路不通<br>谜底：<font color="#FFFFFF">是济南! </font>\n
犹如猛虎巧藏身， 悄悄静卧没响声， 待到飞来害人鸟， 猛吼一声鸟丧生。（打一武器） 	犹如猛虎巧藏身， 悄悄静卧没响声， 待到飞来害人鸟， 猛吼一声鸟丧生。（打一武器） <br>谜底：<font color="#FFFFFF">高射炮</font>\n
油煎豆腐。 （以下各打中国古代科学家名一）  	油煎豆腐。 （以下各打中国古代科学家名一）  <br>谜底：<font color="#FFFFFF">李白</font>\n
游记（古代典籍）	游记（古代典籍）<br>谜底：<font color="#FFFFFF">水经注</font>\n
游乐（四字影片名）	游乐（四字影片名）<br>谜底：<font color="#FFFFFF">流水欢歌</font>\n
游泳比赛(打一成语)	游泳比赛(打一成语)<br>谜底：<font color="#FFFFFF">力争上游</font>\n
游嵩山进王屋（党史人名）	游嵩山进王屋（党史人名）<br>谜底：<font color="#FFFFFF">高君宇</font>\n
有洞不见虫，有巢不见峰， 有丝不见蚕，撑伞不见人。 	有洞不见虫，有巢不见峰， 有丝不见蚕，撑伞不见人。 <br>谜底：<font color="#FFFFFF">藕</font>\n
有肚无肠， 专吞铁水， 钟声一响， 金花怒放。 （打一工业设施）  	有肚无肠， 专吞铁水， 钟声一响， 金花怒放。 （打一工业设施）  <br>谜底：<font color="#FFFFFF">炼钢炉  </font>\n
有朵花，人喜爱， 有时闭来有时开， 雨天开在大街上， 花根就在手中栽。 	有朵花，人喜爱， 有时闭来有时开， 雨天开在大街上， 花根就在手中栽。 <br>谜底：<font color="#FFFFFF">雨伞 </font>\n
有个懒家伙， 只吃不干活， 戴顶帽子帽边大， 穿件褂子纽扣多。 	有个懒家伙， 只吃不干活， 戴顶帽子帽边大， 穿件褂子纽扣多。 <br>谜底：<font color="#FFFFFF">猪</font>\n
有个懒家伙， 只吃不干活， 戴顶帽子帽边大， 穿件褂子纽扣多。 	有个懒家伙， 只吃不干活， 戴顶帽子帽边大， 穿件褂子纽扣多。 <br>谜底：<font color="#FFFFFF">猪</font>\n
有个毛公公， 天亮就出工， 有朝一日不见它， 不是下雨就刮风（打一天体） 	有个毛公公， 天亮就出工， 有朝一日不见它， 不是下雨就刮风（打一天体） <br>谜底：<font color="#FFFFFF">太阳</font>\n
有个小姑娘，穿件黄衣裳， 你要欺侮他，她就戳一枪。 	有个小姑娘，穿件黄衣裳， 你要欺侮他，她就戳一枪。 <br>谜底：<font color="#FFFFFF">马蜂</font>\n
有个小牛个头低,站着只有一尺一（字）	有个小牛个头低,站着只有一尺一（字）<br>谜底：<font color="#FFFFFF">特</font>\n
有个小娃娃,身穿花裳,热天躲在屋子里,出屋子就哭泣.（猜一种食品）	有个小娃娃,身穿花裳,热天躲在屋子里,出屋子就哭泣.（猜一种食品）<br>谜底：<font color="#FFFFFF">棍冰</font>\n
有个硬汉劲头大， 铁头铁臂高骨架， 手挥钢锤砸地球， 硬把银龙往外拉。 （打一农机） 	有个硬汉劲头大， 铁头铁臂高骨架， 手挥钢锤砸地球， 硬把银龙往外拉。 （打一农机） <br>谜底：<font color="#FFFFFF">打井机 </font>\n
有根不着地，绿叶开白花， 到处去流浪，四海处处家。 	有根不着地，绿叶开白花， 到处去流浪，四海处处家。 <br>谜底：<font color="#FFFFFF">浮萍</font>\n
有根不着地，有叶不开花， 日里随风去，夜里不归家。 	有根不着地，有叶不开花， 日里随风去，夜里不归家。 <br>谜底：<font color="#FFFFFF">浮萍</font>\n
有果子万万千（物品）	有果子万万千（物品）<br>谜底：<font color="#FFFFFF">是算盘! </font>\n
有甲没有盔,有眼没有眉,无腿惠赶路,有翅不会飞! 	有甲没有盔,有眼没有眉,无腿惠赶路,有翅不会飞! <br>谜底：<font color="#FFFFFF">鱼</font>\n
